Source,Platform,Project,Run Number,Condition/Profile,Duration (seconds),Status
Local Benchmark Execution,Jenkins,Project C,2,Warm,0.12457129999966128,Success
Local Benchmark Execution,Jenkins,Project C,3,Warm,0.12478790000095615,Success
Local Benchmark Execution,Jenkins,Project C,4,Warm,0.13221179999964078,Success
Local Benchmark Execution,Jenkins,Project C,5,Warm,0.12460229999924195,Success
Local Benchmark Execution,Jenkins,Project C,6,Warm,0.1277980999991996,Success
Local Benchmark Execution,Jenkins,Project C,7,Warm,0.12649339999989023,Success
Local Benchmark Execution,Jenkins,Project C,8,Warm,0.12327810000060709,Success
Local Benchmark Execution,Jenkins,Project C,9,Warm,0.1267986999999266,Success
Local Benchmark Execution,Jenkins,Project C,10,Warm,0.1239873999991687,Success
Local Benchmark Execution,Jenkins,Project C,1,Parallel,0.11057539999936125,Success
Local Benchmark Execution,Jenkins,Project C,2,Parallel,0.10457129999966128,Success
Local Benchmark Execution,Jenkins,Project C,3,Parallel,0.10478790000095614,Success
Local Benchmark Execution,Jenkins,Project C,4,Parallel,0.11221179999964079,Success
Local Benchmark Execution,Jenkins,Project C,5,Parallel,0.10460229999924195,Success
Local Benchmark Execution,Jenkins,Project C,6,Parallel,0.10779809999919962,Success
Local Benchmark Execution,Jenkins,Project C,7,Parallel,0.10649339999989024,Success
Local Benchmark Execution,Jenkins,Project C,8,Parallel,0.10327810000060708,Success
Local Benchmark Execution,Jenkins,Project C,9,Parallel,0.10679869999992661,Success
Local Benchmark Execution,Jenkins,Project C,10,Parallel,0.1039873999991687,Success
GitHub Actions API Scrape,GitHub Actions,Project C,7,SaaS Cloud Execution,25.0,Success
GitHub Actions API Scrape,GitHub Actions,Project B,7,SaaS Cloud Execution,41.0,Success
GitHub Actions API Scrape,GitHub Actions,Project A,7,SaaS Cloud Execution,35.0,Success
GitHub Actions API Scrape,GitHub Actions,Project C,6,SaaS Cloud Execution,51.0,Success
GitHub Actions API Scrape,GitHub Actions,Project B,6,SaaS Cloud Execution,26.0,Success
GitHub Actions API Scrape,GitHub Actions,Project A,6,SaaS Cloud Execution,35.0,Success
GitHub Actions API Scrape,GitHub Actions,Project B,5,SaaS Cloud Execution,29.0,Success
GitHub Actions API Scrape,GitHub Actions,Project C,5,SaaS Cloud Execution,20.0,Success
GitHub Actions API Scrape,GitHub Actions,Project A,5,SaaS Cloud Execution,25.0,Success
GitHub Actions API Scrape,GitHub Actions,Project B,4,SaaS Cloud Execution,32.0,Success
GitHub Actions API Scrape,GitHub Actions,Project C,4,SaaS Cloud Execution,24.0,Success
GitHub Actions API Scrape,GitHub Actions,Project A,4,SaaS Cloud Execution,26.0,Success
GitHub Actions API Scrape,GitHub Actions,Project B,3,SaaS Cloud Execution,28.0,Success
GitHub Actions API Scrape,GitHub Actions,Project A,3,SaaS Cloud Execution,28.0,Success
GitHub Actions API Scrape,GitHub Actions,Project C,3,SaaS Cloud Execution,24.0,Success
GitHub Actions API Scrape,GitHub Actions,Project B,2,SaaS Cloud Execution,22.0,Success
GitHub Actions API Scrape,GitHub Actions,Project C,2,SaaS Cloud Execution,41.0,Failure
GitHub Actions API Scrape,GitHub Actions,Project A,2,SaaS Cloud Execution,20.0,Success
GitHub Actions API Scrape,GitHub Actions,Project A,1,SaaS Cloud Execution,30.0,Success
GitHub Actions API Scrape,GitHub Actions,Project B,1,SaaS Cloud Execution,37.0,Success
GitHub Actions API Scrape,GitHub Actions,Project C,1,SaaS Cloud Execution,19.0,Failure
CircleCI API Scrape,CircleCI,All Workflows,1,SaaS Cloud Execution (Total),37.0,Failed
CircleCI API Scrape,CircleCI,All Workflows,2,SaaS Cloud Execution (Total),27.0,Failed
CircleCI API Scrape,CircleCI,All Workflows,3,SaaS Cloud Execution (Total),27.0,Success
CircleCI API Scrape,CircleCI,All Workflows,4,SaaS Cloud Execution (Total),26.0,Success
CircleCI API Scrape,CircleCI,All Workflows,5,SaaS Cloud Execution (Total),42.0,Success
CircleCI API Scrape,CircleCI,All Workflows,6,SaaS Cloud Execution (Total),41.0,Success
CircleCI API Scrape,CircleCI,All Workflows,7,SaaS Cloud Execution (Total),33.0,Success
