Source,Platform,Project,Run Number,Condition/Profile,Duration (seconds),Status
Local Benchmark Execution,Jenkins,Project B,13,Cold,23.714909800000896,Success
Local Benchmark Execution,Jenkins,Project B,14,Cold,25.744372200006183,Success
Local Benchmark Execution,Jenkins,Project B,15,Cold,25.135311200003343,Success
Local Benchmark Execution,Jenkins,Project B,16,Cold,26.19316930000059,Success
Local Benchmark Execution,Jenkins,Project B,17,Cold,24.148006400002487,Success
Local Benchmark Execution,Jenkins,Project B,18,Cold,22.75013979999858,Success
Local Benchmark Execution,Jenkins,Project B,19,Cold,24.663549900000362,Success
Local Benchmark Execution,Jenkins,Project B,20,Cold,21.727800799999386,Success
Local Benchmark Execution,Jenkins,Project B,1,Warm,1.8436926000031235,Success
Local Benchmark Execution,Jenkins,Project B,2,Warm,1.8263828999952239,Success
Local Benchmark Execution,Jenkins,Project B,3,Warm,1.8271586000009847,Success
Local Benchmark Execution,Jenkins,Project B,4,Warm,1.855461600000126,Success
Local Benchmark Execution,Jenkins,Project B,5,Warm,1.8634267000015825,Success
Local Benchmark Execution,Jenkins,Project B,6,Warm,1.870656200000667,Success
Local Benchmark Execution,Jenkins,Project B,7,Warm,1.8322021999993012,Success
Local Benchmark Execution,Jenkins,Project B,8,Warm,1.831874000003154,Success
Local Benchmark Execution,Jenkins,Project B,9,Warm,1.8493519999974524,Success
Local Benchmark Execution,Jenkins,Project B,10,Warm,1.816417800000636,Success
Local Benchmark Execution,Jenkins,Project B,11,Warm,2.840560700002243,Success
Local Benchmark Execution,Jenkins,Project B,12,Warm,3.0660086999996565,Success
Local Benchmark Execution,Jenkins,Project B,13,Warm,2.930689299999358,Success
Local Benchmark Execution,Jenkins,Project B,14,Warm,2.916999000000942,Success
Local Benchmark Execution,Jenkins,Project B,15,Warm,2.933217000001605,Success
Local Benchmark Execution,Jenkins,Project B,16,Warm,3.026518099999521,Success
Local Benchmark Execution,Jenkins,Project B,17,Warm,3.6188258999973186,Success
Local Benchmark Execution,Jenkins,Project B,18,Warm,3.2983278000028804,Success
Local Benchmark Execution,Jenkins,Project B,19,Warm,2.8148667000023124,Success
Local Benchmark Execution,Jenkins,Project B,20,Warm,3.4227180999987468,Success
Local Benchmark Execution,Jenkins,Project B,1,Parallel,1.1416481999991448,Success
Local Benchmark Execution,Jenkins,Project B,2,Parallel,1.1436838050003644,Success
Local Benchmark Execution,Jenkins,Project B,3,Parallel,1.1070091449993926,Success
Local Benchmark Execution,Jenkins,Project B,4,Parallel,1.1486241250016975,Success
Local Benchmark Execution,Jenkins,Project B,5,Parallel,1.1353884299993298,Success
Local Benchmark Execution,Jenkins,Project B,6,Parallel,1.161451225000201,Success
Local Benchmark Execution,Jenkins,Project B,7,Parallel,1.1125045249993493,Success
Local Benchmark Execution,Jenkins,Project B,8,Parallel,1.1689487150004425,Success
Local Benchmark Execution,Jenkins,Project B,9,Parallel,1.1170956499989189,Success
Local Benchmark Execution,Jenkins,Project B,10,Parallel,1.1307995050005049,Success
Local Benchmark Execution,Jenkins,Project B,11,Parallel,1.8100371849990553,Success
Local Benchmark Execution,Jenkins,Project B,12,Parallel,1.7152783450008429,Success
Local Benchmark Execution,Jenkins,Project B,13,Parallel,1.3732082650009034,Success
Local Benchmark Execution,Jenkins,Project B,14,Parallel,1.6026713450002719,Success
Local Benchmark Execution,Jenkins,Project B,15,Parallel,1.43622473500036,Success
Local Benchmark Execution,Jenkins,Project B,16,Parallel,1.2877399150016573,Success
Local Benchmark Execution,Jenkins,Project B,17,Parallel,1.2625554150015887,Success
Local Benchmark Execution,Jenkins,Project B,18,Parallel,1.4461692850014516,Success
Local Benchmark Execution,Jenkins,Project B,19,Parallel,1.5587275550011328,Success
Local Benchmark Execution,Jenkins,Project B,20,Parallel,1.6897250149995673,Success
Local Benchmark Execution,Jenkins,Project C,1,Cold,0.23057539999936125,Success
Local Benchmark Execution,Jenkins,Project C,2,Cold,0.22457129999966127,Success
